fen,move,game_id
8/1p6/1K6/P7/1B4p1/5pP1/4kP2/8 b - - 34 61,e2f2,1
8/1K6/8/P7/1B4p1/5pP1/5k2/8 b - - 0 62,f2e2,1
8/1K6/P7/8/1B4p1/5pP1/4k3/8 b - - 0 63,f3f2,1
8/PK6/8/8/1B4p1/6P1/4kp2/8 b - - 0 64,f2f1q,1
Q7/1K6/8/8/1B4p1/6P1/4k3/5q2 b - - 0 65,f1f3,1
QK6/8/8/8/1B4p1/5qP1/4k3/8 b - - 2 66,f3g3,1
Q1K5/8/8/8/1B4p1/6q1/4k3/8 b - - 1 67,g3b3,1
2K5/8/8/8/1B2Q1p1/1q6/4k3/8 b - - 3 68,e2d1,1
2K5/8/8/8/1B4Q1/1q6/8/3k4 b - - 0 69,d1c2,1
2K5/8/8/8/1B6/1q6/2k1Q3/8 b - - 2 70,c2b1,1
2K5/8/8/8/1B6/1q6/8/1k2Q3 b - - 4 71,b1a2,1
2K5/8/8/8/1B6/1q6/k3Q3/8 b - - 6 72,a2b1,1
2K5/8/8/8/1B2Q3/1q6/8/1k6 b - - 8 73,b1a2,1
8/1K6/8/8/1B2Q3/1q6/k7/8 b - - 10 74,b3b1,1
8/8/1K6/8/1B2Q3/8/k7/1q6 b - - 12 75,b1e4,1
8/8/8/1K6/1B2q3/8/k7/8 b - - 1 76,a2b3,1
8/8/8/2K5/1B2q3/1k6/8/8 b - - 3 77,e4b4,1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g8f6,2
rnbqkb1r/pppppppp/5n2/8/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,b8c6,2
r1bqkb1r/pppppppp/2n2n2/8/3P4/4P3/PPP1BPPP/RNBQK1NR b KQkq - 2 3,g7g6,2
r1bqkb1r/pppppp1p/2n2np1/8/3P4/4PN2/PPP1BPPP/RNBQK2R b KQkq - 1 4,f8g7,2
r1bqk2r/ppppppbp/2n2np1/8/3P4/4PN2/PPPBBPPP/RN1QK2R b KQkq - 3 5,e8g8,2
r1bq1rk1/ppppppbp/2n2np1/8/3P3P/4PN2/PPPBBPP1/RN1QK2R b KQ - 0 6,d7d6,2
r1bq1rk1/ppp1ppbp/2np1np1/8/3P3P/2B1PN2/PPP1BPP1/RN1QK2R b KQ - 1 7,d6d5,2
r1bq1rk1/ppp1ppbp/2n2np1/3pN3/3P3P/2B1P3/PPP1BPP1/RN1QK2R b KQ - 1 8,c6e5,2
r1bq1rk1/ppp1ppbp/5np1/3pP3/7P/2B1P3/PPP1BPP1/RN1QK2R b KQ - 0 9,f6e4,2
r1bq1rk1/ppp1ppbp/6p1/3pP3/4n1PP/2B1P3/PPP1BP2/RN1QK2R b KQ - 0 10,e4c3,2
r1bq1rk1/ppp1ppbp/6p1/3pP3/6PP/2N1P3/PPP1BP2/R2QK2R b KQ - 0 11,g7e5,2
r1bq1rk1/ppp1pp1p/6p1/3pb2P/6P1/2N1P3/PPP1BP2/R2QK2R b KQ - 0 12,d5d4,2
r1bq1rk1/ppp1pp1p/6p1/4b2P/3P2P1/2N5/PPP1BP2/R2QK2R b KQ - 0 13,e5d4,2
r1bq1rk1/ppp1pp1p/6P1/8/3b2P1/2N5/PPP1BP2/R2QK2R b KQ - 0 14,d4c3,2
r1bq1rk1/ppp1pp1p/6P1/8/6P1/2P5/P1P1BP2/R2QK2R b KQ - 0 15,d8d1,2
r1b2rk1/ppp1pp1p/6P1/8/6P1/2P5/P1P1BP2/3RK2R b K - 0 16,f7g6,2
r1b2rk1/ppp1p2p/6p1/8/2B3P1/2P5/P1P2P2/3RK2R b K - 1 17,e7e6,2
r1b2rk1/ppp4p/4p1p1/8/2B3P1/2P5/P1P1KP2/3R3R b - - 1 18,b7b6,2
r1b2rk1/p1p4p/1p2p1pR/8/2B3P1/2P5/P1P1KP2/3R4 b - - 1 19,f8f4,2
r1b3k1/p1p4p/1p2p1pR/8/2B2rP1/2P5/P1P1KP2/7R b - - 3 20,f4c4,2
r1b3k1/p1p4R/1p2p1p1/8/2r3P1/2P5/P1P1KP2/7R b - - 0 21,c4g4,2
r1b3kR/p1p5/1p2p1p1/8/6r1/2P5/P1P1KP2/7R b - - 1 22,g8f7,2
r1b4R/p1p2k1R/1p2p1p1/8/6r1/2P5/P1P1KP2/8 b - - 3 23,f7f6,2
r1b2R2/p1p4R/1p2pkp1/8/6r1/2P5/P1P1KP2/8 b - - 5 24,f6g5,2
r1b2R2/p1p4R/1p2p1p1/6k1/6r1/2P2P2/P1P1K3/8 b - - 0 25,g4a4,2
r1b2R2/p1p3R1/1p2p1p1/6k1/r7/2P2P2/P1P1K3/8 b - - 2 26,c8b7,2
r5R1/pbp3R1/1p2p1p1/6k1/r7/2P2P2/P1P1K3/8 b - - 4 27,a8g8,2
6R1/pbp5/1p2p1p1/6k1/r7/2P2P2/P1P1K3/8 b - - 0 28,a4a2,2
6R1/pbp5/1p2p1p1/6k1/8/2PK1P2/r1P5/8 b - - 1 29,b7f3,2
8/p1p3R1/1p2p1p1/6k1/8/2PK1b2/r1P5/8 b - - 1 30,c7c5,2
8/p3R3/1p2p1p1/2p3k1/8/2PK1b2/r1P5/8 b - - 1 31,g5f6,2
4R3/p7/1p2pkp1/2p5/8/2PK1b2/r1P5/8 b - - 3 32,f3h5,2
5R2/p7/1p2pkp1/2p4b/8/2PK4/r1P5/8 b - - 5 33,f6e7,2
8/p3k3/1p2p1p1/2p4b/8/2PK4/r1P2R2/8 b - - 7 34,g6g5,2
8/p3k3/1p2p3/2p3pb/8/2PK4/r1P3R1/8 b - - 1 35,h5g6,2
8/p3k3/1p2p1b1/2p3p1/2K5/2P5/r1P3R1/8 b - - 3 36,e7f6,2
8/p7/1p2pkb1/2p3p1/2K5/2P5/r1P2R2/8 b - - 5 37,f6e5,2
8/p7/1p2p1b1/2p1k1p1/2K5/2P5/r1P3R1/8 b - - 7 38,e5f4,2
8/p7/1p2p1b1/2p3p1/2K2k2/2P5/r1P1R3/8 b - - 9 39,g6c2,2
8/p7/1p2R3/2p3p1/2K2k2/2P5/r1b5/8 b - - 0 40,c2f5,2
8/p3R3/1p6/2p2bp1/2K2k2/2P5/r7/8 b - - 2 41,g5g4,2
8/p3R3/1p6/2pK1b2/5kp1/2P5/r7/8 b - - 1 42,g4g3,2
8/p3R3/1p6/2pK1b2/2P2k2/6p1/r7/8 b - - 0 43,g3g2,2
8/p5R1/1p6/2pK1b2/2P2k2/8/r5p1/8 b - - 1 44,f5e4,2
8/p5R1/1p1K4/2p5/2P1bk2/8/r5p1/8 b - - 3 45,a2a1,2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,3
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d4c5,3
rnbqkbnr/pp1p1ppp/4p3/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,g1f3,3
r1bqkbnr/pp1p1ppp/2n1p3/2P5/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 4,e2e3,3
r1bqk1nr/pp1p1ppp/2n1p3/2b5/8/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 5,f1b5,3
r1bqk1nr/1p1p1ppp/p1n1p3/1Bb5/8/4PN2/PPP2PPP/RNBQK2R w KQkq - 0 6,b5c6,3
r1bqk1nr/3p1ppp/p1p1p3/2b5/8/4PN2/PPP2PPP/RNBQK2R w KQkq - 0 7,b2b3,3
r1bqk2r/3p1ppp/p1p1pn2/2b5/8/1P2PN2/P1P2PPP/RNBQK2R w KQkq - 1 8,c1b2,3
r1bq1rk1/3p1ppp/p1p1pn2/2b5/8/1P2PN2/PBP2PPP/RN1QK2R w KQ - 3 9,a2a3,3
r1bq1rk1/3p1ppp/2p1pn2/p1b5/8/PP2PN2/1BP2PPP/RN1QK2R w KQ - 0 10,e1g1,3
r1bq1rk1/5ppp/2p1pn2/p1bp4/8/PP2PN2/1BP2PPP/RN1Q1RK1 w - - 0 11,c2c3,3
r2q1rk1/5ppp/b1p1pn2/p1bp4/8/PPP1PN2/1B3PPP/RN1Q1RK1 w - - 1 12,f1e1,3
r2q1rk1/5ppp/b1p1p3/p1bp4/4n3/PPP1PN2/1B3PPP/RN1QR1K1 w - - 3 13,b3b4,3
r2q1rk1/5ppp/b1p1p3/2bp4/1p2n3/P1P1PN2/1B3PPP/RN1QR1K1 w - - 0 14,a3b4,3
r2q1rk1/5ppp/b1pbp3/3p4/1P2n3/2P1PN2/1B3PPP/RN1QR1K1 w - - 1 15,b1d2,3
r2q1rk1/5ppp/2pbp3/3p4/1Pb1n3/2P1PN2/1B1N1PPP/R2QR1K1 w - - 3 16,a1a8,3
q4rk1/5ppp/2pbp3/3p4/1Pb1n3/2P1PN2/1B1N1PPP/3QR1K1 w - - 0 17,d2e4,3
q4rk1/2b2ppp/2p1p3/3p4/1Pb1N3/2P1PN2/1B3PPP/3QR1K1 w - - 1 18,e4c5,3
q4rk1/2b3pp/2p1p3/2Np1p2/1Pb5/2P1PN2/1B3PPP/3QR1K1 w - - 0 19,c5e6,3
q5k1/2b2rpp/2p1N3/3p1p2/1Pb5/2P1PN2/1B3PPP/3QR1K1 w - - 1 20,e6c7,3
2q3k1/2N2rpp/2p5/3p1p2/1Pb5/2P1PN2/1B3PPP/3QR1K1 w - - 1 21,f3e5,3
2q3k1/2r3pp/2p5/3pNp2/1Pb5/2P1P3/1B3PPP/3QR1K1 w - - 0 22,e5c4,3
2q3k1/2r3pp/2p5/5p2/1Pp5/2P1P3/1B3PPP/3QR1K1 w - - 0 23,d1d4,3
2q3k1/3r2pp/2p5/5p2/1PpQ4/2P1P3/1B3PPP/4R1K1 w - - 2 24,d4c4,3
2q4k/3r2pp/2p5/5p2/1PQ5/2P1P3/1B3PPP/4R1K1 w - - 1 25,b4b5,3
3q3k/3r2pp/2p5/1P3p2/2Q5/2P1P3/1B3PPP/4R1K1 w - - 1 26,b5c6,3
3q3k/6pp/2P5/5p2/2Q5/2P1P3/1B3PPP/3rR1K1 w - - 1 27,e1f1,3
3q3k/6pp/2P5/5p2/2Q5/2P1P3/1B3PPP/5rK1 w - - 0 28,g1f1,3
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,4
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,g1f3,4
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,e2e3,4
rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,f1d3,4
r1bqkb1r/pppnp1pp/5n2/3p1p2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 2 5,d3f5,4
r1bqkb1r/pppnp2p/5np1/3p1B2/3P4/4PN2/PPP2PPP/RNBQK2R w KQkq - 0 6,f5d3,4
r1bqk2r/pppnp2p/5npb/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 2 7,e1g1,4
r1bqk2r/1ppnp2p/p4npb/3p4/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 0 8,b1d2,4
r1bqk2r/2pnp2p/p4npb/1p1p4/3P4/3BPN2/PPPN1PPP/R1BQ1RK1 w kq - 0 9,d1e2,4
r1bqk2r/3np2p/p4npb/1ppp4/3P4/3BPN2/PPPNQPPP/R1B2RK1 w kq - 0 10,c2c3,4
r1bqk2r/3np2p/p4npb/1p1p4/2pP4/2PBPN2/PP1NQPPP/R1B2RK1 w kq - 0 11,d3c2,4
r1b1k2r/2qnp2p/p4npb/1p1p4/2pP4/2P1PN2/PPBNQPPP/R1B2RK1 w kq - 2 12,e3e4,4
r1b1k2r/2qnp2p/p4np1/1p1p4/2pPP3/2P2N2/PPBbQPPP/R1B2RK1 w kq - 0 13,c1d2,4
r1b1k2r/2qnp2p/p5p1/1p1p4/2pPn3/2P2N2/PPBBQPPP/R4RK1 w kq - 0 14,c2e4,4
r1b1k2r/2qnp2p/p5p1/1p6/2pPp3/2P2N2/PP1BQPPP/R4RK1 w kq - 0 15,e2e4,4
r3k2r/1bqnp2p/p5p1/1p6/2pPQ3/2P2N2/PP1B1PPP/R4RK1 w kq - 1 16,d4d5,4
r3k2r/1bq1p2p/p5p1/1pnP4/2p1Q3/2P2N2/PP1B1PPP/R4RK1 w kq - 1 17,e4d4,4
2kr3r/1bq1p2p/p5p1/1pnP4/2pQ4/2P2N2/PP1B1PPP/R4RK1 w - - 3 18,d2f4,4
2k4r/1bq1p2p/p5p1/1pnr4/2pQ1B2/2P2N2/PP3PPP/R4RK1 w - - 0 19,d4h8,4
2kq3Q/1b2p2p/p5p1/1pnr4/2p2B2/2P2N2/PP3PPP/R4RK1 w - - 1 20,h8d8,4
2kr4/1b2p2p/p5p1/1pn5/2p2B2/2P2N2/PP3PPP/R4RK1 w - - 0 21,g2g3,4
2kr4/1b2p2p/p5p1/1p6/2p1nB2/2P2NP1/PP3P1P/R4RK1 w - - 1 22,f1e1,4
2k2r2/1b2p2p/p5p1/1p6/2p1nB2/2P2NP1/PP3P1P/R3R1K1 w - - 3 23,f4h6,4
2k5/1b2p2p/p5pB/1p6/2p1n3/2P2rP1/PP3P1P/R3R1K1 w - - 0 24,h6f4,4
2k5/1b2p2p/p5p1/1p6/2p1nB2/2P3P1/PP3r1P/R3R1K1 w - - 0 25,e1e4,4
2k5/4p2p/p5p1/1p6/2p1bB2/2P3P1/PP3r1P/R5K1 w - - 0 26,g1f2,4
8/3kp2p/p5p1/1p6/2p1bB2/2P3P1/PP3K1P/R7 w - - 1 27,a1e1,4
8/3kp2p/p5p1/1p3b2/2p2B2/2P3P1/PP3K1P/4R3 w - - 3 28,f4g5,4
